AGENT_VERSION,CLUSTER_TYPE,ARCHITECTURE,K8S_VERSION,OS,Kernel,runtime_type,runtime_version,TYPE_INSTALLATION,AGENT_INSTALL_METHOD
0.4.zzhongcheng3843,gke,x86_64,v1.24.7-gke.900,Container-Optimized OS from Google,5.10.147+,containerd,1.6.6,SLIM & AGENT,kubernetes & helm
12.10.1-rc1,iks,x86_64,v1.24.9+IKS,Ubuntu 18.04.6 LTS,4.15.0-200-generic,containerd,1.6.12,SLIM,helm
12.10.1-rc1,,x86_64,,Debian GNU/Linux 10 (buster),4.19.0-22-cloud-amd64,,,SLIM,native
12.10.0-rc2,,arm64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1092-aws,docker,20.10.12,SLIM,docker
12.6.0-rc,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.62.1.el7.x86_64,docker,20.10.14,AGENT,docker
12.9.0-rc2,,arm64,,Red Hat Enterprise Linux 9.0 (Plow),5.14.0-70.26.1.el9_0.aarch64,docker,20.10.18,AGENT,docker
latest,kops,x86_64,v1.20.0,Ubuntu 20.04.4 LTS,5.13.0-1017-aws,containerd,1.4.12,AGENT,kubernetes
12.10.0-rc1,,arm64,,Debian GNU/Linux 10 (buster),4.19.0-21-arm64,docker,18.09.1,SLIM,docker
12.9.0-rc3,,x86_64,,Fedora Linux 35 (Cloud Edition),5.19.12-100.fc35.x86_64,docker,20.10.18,AGENT,docker
12.9.0-rc3,,x86_64,,Fedora Linux 36 (Cloud Edition),5.19.12-200.fc36.x86_64,docker,20.10.18,AGENT,docker
latest,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1086-aws,,,AGENT,native
latest,,x86_64,,Fedora Linux 36 (Cloud Edition),5.19.15-201.fc36.x86_64,docker,20.10.19,AGENT,docker
dev,,x86_64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1092-aws,docker,20.10.12,SLIM,docker
12.4.0-rc,okd4,x86_64,v1.21.6+4b61f94,Red Hat Enterprise Linux CoreOS 48.84.202202142303-0 (Ootpa),4.18.0-305.34.2.el8_4.x86_64,cri-o,1.21.4-10.rhaos4.8.gitc058478.el8,SLIM & AGENT,kubernetes & helm
SMAGENT3619-linux-amd64,,x86_64,,Amazon Linux 2,4.14.273-207.502.amzn2.x86_64,docker,20.10.7,AGENT,docker
12.4.0-rc,,x86_64,,CentOS Linux 7 (Core),3.10.0-1160.59.1.el7.x86_64,docker,20.10.14,AGENT,docker
12.8.0-rc1,k8s,x86_64,v1.23.0,Ubuntu 20.04.2 LTS,5.4.0-1038-aws,docker,20.10.6,SLIM & AGENT,kubernetes & helm
dev,,arm64,,Ubuntu 18.04.6 LTS (Bionic Beaver),5.4.0-1094-aws,docker,20.10.12,SLIM,docker
